MMM
AXP
AMGN
AAPL
BA
CAT
CVX
CSCO
KO
DOW
GS
HD
HON
IBM
INTC
JNJ
JPM
MCD
MRK
MSFT
NKE
PG
CRM
TRV
UNH
VZ
V
WBA
WMT
DIS
NAV
X
WX
Z
GT
T
KODK
IP
MO
AIG
C
MDLZ
AA
BAC
HPQ
HPE
GE
RTX
XOM
PFE
